Kmer_len	GS	Repeat	Unique	Model_fit	Error	Kmer_type	Kmer_total	Kcov
17	176842983	84206870	92636113	87.8419	1.17776	401341945	11047127158	19.91
27	458113929	123440107	334673822	98.5176	0.0377243	576895786	11024466428	10.09
37	477974128	117421535	360552593	98.4517	0.0289062	644450368	11001805795	10.05
47	491430978	114978456	376452522	98.8188	0.0207601	690568149	10979145149	10.02
57	500617708	113129879	387487829	98.7898	0.0168213	725088927	10956484987	9.98
67	507531250	111649035	395882215	98.7818	0.0138563	752582781	10933824697	9.96
77	512786163	110095109	402691054	98.7771	0.0116175	775337402	10911164148	9.93
87	516999701	108523354	408476347	98.7798	0.00988088	794688716	10888503427	9.90
97	520389980	106861396	413528584	98.7864	0.00851898	811457013	10865862451	9.88
107	523182569	105184925	417997644	98.7829	0.00745677	826185879	10843222892	9.85
117	525499052	103502919	421996134	98.7815	0.00661475	839255492	10820582340	9.83
127	527513609	101889051	425624558	98.7847	0.00592236	850950608	10797942300	9.81
137	532050731	103060887	428989844	98.5221	0.00154664	861490882	10775302660	9.78
147	538544330	119192051	419352279	94.6863	0.00145363	871047490	10752664428	9.70
157	539863974	116770561	423093412	94.9272	0.00138672	879760509	10730026921	9.68
167	541056313	114192797	426863517	95.213	0.00132724	887741360	10707391005	9.66
177	542065935	111330674	430735261	95.5641	0.00127441	895078870	10684757499	9.64
187	542977636	108532254	434445383	95.9021	0.00122672	901849726	10662126016	9.62
197	543873420	105896123	437977297	96.2176	0.00118314	908119526	10639495696	9.59
207	544716488	103263556	441452932	96.5465	0.00114333	913944445	10616868379	9.57
217	545465949	100739866	444726084	96.8362	0.0011068	919375558	10594243139	9.55
227	546104797	98019613	448085185	97.168	0.00107335	924450396	10571619171	9.53
237	546604050	94990761	451613288	97.5591	0.00104278	929202791	10548997479	9.51
247	547050851	91905989	455144862	97.9714	0.00101452	933664408	10526377272	9.49
257	547407968	88697929	458710039	98.4105	0.000988422	937857650	10503758922	9.47
267	547691459	85342174	462349285	98.8138	0.000964315	941793054	10481143027	9.45
277	547952638	81979404	465973234	98.7856	0.000941737	945500201	10458530129	9.43
287	548233834	78816301	469417533	98.5641	0.000920451	949006712	10435918544	9.41
297	548485353	75731827	472753526	98.2538	0.000900472	952332832	10413308860	9.40
307	548674492	72423277	476251215	97.8807	0.000881783	955489402	10390702415	9.38
